Twiddle,Step,Kp,Ki,Kd,angle,cte,d_error,i_error,
0,0,0.140427,0,2.8306,0,0.7598,0,0,
0,0,0.140427,0,2.8306,0,0.7598,0.7598,0.7598,
0,0,0.140427,0,2.8306,-24.5637,0.7598,0,1.5196,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,2.2794,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,3.0392,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,3.799,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,4.5588,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,5.3186,
0,0,0.140427,0,2.8306,-2.2311,0.7598,0,6.0784,
0,0,0.140427,0,2.8306,-2.2311,0.7599,0,6.8382,
0,0,0.140427,0,2.8306,-2.2311,0.7596,0.0001,7.5981,
0,0,0.140427,0,2.8306,-2.2385,0.7594,-0.0003,8.3577,
0,0,0.140427,0,2.8306,-2.2091,0.7592,-0.0002,9.1171,
0,0,0.140427,0,2.8306,-2.2155,0.7589,-0.0002,9.8763,
0,0,0.140427,0,2.8306,-2.2148,0.7587,-0.0003,10.6352,
0,0,0.140427,0,2.8306,-2.2067,0.758,-0.0002,11.3939,
0,0,0.140427,0,2.8306,-2.2131,0.7576,-0.0007,12.1519,
0,0,0.140427,0,2.8306,-2.1752,0.7572,-0.0004,12.9095,
0,0,0.140427,0,2.8306,-2.1951,0.7568,-0.0004,13.6667,
0,0,0.140427,0,2.8306,-2.1936,0.7564,-0.0004,14.4235,
0,0,0.140427,0,2.8306,-2.1922,0.7559,-0.0004,15.1799,
0,0,0.140427,0,2.8306,-2.1908,0.7555,-0.0005,15.9358,
0,0,0.140427,0,2.8306,-2.182,0.7549,-0.0004,16.6913,
0,0,0.140427,0,2.8306,-2.1877,0.7544,-0.0006,17.4462,
0,0,0.140427,0,2.8306,-2.1714,0.7538,-0.0005,18.2006,
0,0,0.140427,0,2.8306,-2.1767,0.7532,-0.0006,18.9544,
0,0,0.140427,0,2.8306,-2.1676,0.7525,-0.0006,19.7076,
0,0,0.140427,0,2.8306,-2.1676,0.7525,-0.0007,20.4601,
0,0,0.140427,0,2.8306,-2.1559,0.7518,0,21.2126,
0,0,0.140427,0,2.8306,-2.2055,0.751,-0.0007,21.9644,
0,0,0.140427,0,2.8306,-2.1535,0.7502,-0.0008,22.7154,
0,0,0.140427,0,2.8306,-2.1436,0.7494,-0.0008,23.4656,
0,0,0.140427,0,2.8306,-2.1408,0.7485,-0.0008,24.215,
0,0,0.140427,0,2.8306,-2.138,0.7476,-0.0009,24.9635,
0,0,0.140427,0,2.8306,-2.1277,0.7465,-0.0009,25.7111,
0,0,0.140427,0,2.8306,-2.1246,0.7455,-0.0011,26.4576,
0,0,0.140427,0,2.8306,-2.1065,0.7444,-0.001,27.2031,
0,0,0.140427,0,2.8306,-2.1101,0.7432,-0.0011,27.9475,
0,0,0.140427,0,2.8306,-2.0992,0.742,-0.0012,28.6907,
0,0,0.140427,0,2.8306,-2.0879,0.7347,-0.0012,29.4327,
0,0,0.140427,0,2.8306,-2.0837,0.7274,-0.0073,30.1674,
0,0,0.140427,0,2.8306,-1.6264,0.7254,-0.0073,30.8948,
0,0,0.140427,0,2.8306,-1.6007,0.7212,-0.002,31.6202,
0,0,0.140427,0,2.8306,-1.9688,0.7189,-0.0042,32.3414,
0,0,0.140427,0,2.8306,-1.7984,0.7165,-0.0023,33.0603,
0,0,0.140427,0,2.8306,-1.9247,0.714,-0.0024,33.7768,
0,0,0.140427,0,2.8306,-1.9092,0.7113,-0.0025,34.4908,
0,0,0.140427,0,2.8306,-1.8934,0.7085,-0.0027,35.2021,
0,0,0.140427,0,2.8306,-1.8934,0.7085,-0.0028,35.9106,
0,0,0.140427,0,2.8306,-1.8528,0.7056,0,36.6191,
0,0,0.140427,0,2.8306,-2.051,0.7025,-0.0029,37.3247,
0,0,0.140427,0,2.8306,-1.8356,0.6993,-0.0031,38.0272,
0,0,0.140427,0,2.8306,-1.8105,0.6959,-0.0032,38.7265,
0,0,0.140427,0,2.8306,-1.7922,0.6924,-0.0034,39.4224,
0,0,0.140427,0,2.8306,-1.7922,0.6924,-0.0035,40.1148,
0,0,0.140427,0,2.8306,-1.7468,0.6888,0,40.8072,
0,0,0.140427,0,2.8306,-1.9945,0.685,-0.0036,41.496,
0,0,0.140427,0,2.8306,-1.7271,0.681,-0.0038,42.181,
0,0,0.140427,0,2.8306,-1.6996,0.6769,-0.004,42.862,
0,0,0.140427,0,2.8306,-1.6714,0.6726,-0.0041,43.5389,
0,0,0.140427,0,2.8306,-1.6499,0.6682,-0.0043,44.2115,
0,0,0.140427,0,2.8306,-1.6499,0.6682,-0.0044,44.8797,
0,0,0.140427,0,2.8306,-1.5981,0.6636,0,45.5479,
0,0,0.140427,0,2.8306,-1.9095,0.6588,-0.0046,46.2115,
0,0,0.140427,0,2.8306,-1.5678,0.6539,-0.0048,46.8703,
0,0,0.140427,0,2.8306,-1.5368,0.6488,-0.0049,47.5242,
0,0,0.140427,0,2.8306,-1.5126,0.6435,-0.0051,48.173,
0,0,0.140427,0,2.8306,-1.4805,0.6381,-0.0053,48.8165,
0,0,0.140427,0,2.8306,-1.4805,0.6381,-0.0054,49.4546,
